,مصارفات روزانه دفتر ,,,,,,,,,,
مجموع,مجموع افغانی + دالری,نر خ اسعار دالری,مبلغ دالری,مبلغ افغانی,تفصیلات ,تاریخ,شماره,,,,
"$242,422.1",$98.7,63.62,,"AFN 6,280","خریداری کیک, مرغ, سمبوسه, کیله وسیب به خانه ",1-Dec-25,835,,,,
"$242,423.3",$1.3,63.62,,AFN 80,"کرای راه حوزه مالیات, کوته سنگی, دفتر صدور و کرای آمد مربوط عبدالرحیم غفوری",6-Dec-25,836,,,,
"$242,439.3",$16.0,63.62,,"AFN 1,020","پول راه عبدلرحیم بابت رفتن به کوته سنگی, شهر نو, ریاست مالیاتی و نان جاشت",6-Dec-25,837,,,,
"$242,456.6",$17.3,63.62,,"AFN 1,100","پول راه عبدلرحیم بابت رفتن به کوته سنگی, شهر نو, ریاست مالیاتی و نان جاشت",6-Dec-25,838,,,,
"$242,464.5",$7.9,63.62,,AFN 500,"پول راه عبدلرحیم بابت رفتن به کوته سنگی, شهر نو, ریاست مالیاتی و نان جاشت",6-Dec-25,839,,,,
"$242,700.3",$235.8,63.62,,"AFN 15,000",برداشت حاجی صبغت الله از دفتر بخاطر ترمیم موتر فرونر,27-Nov-25,840,,,,
"$242,936.0",$235.8,63.62,,"AFN 15,000",پرداخت به مصارف ختم قرانکریم توسط حاجی صبغت الله ,6-Jun-25,841,,,,
"$242,938.4",$2.4,63.62,,AFN 150,خریداری مسلم شاور توسط حاجی صبغت الله ,27-May-25,842,,,,
"$243,061.0",$122.6,63.62,,"AFN 7,800",خریداری کنجاره سبوس به گاو های زمین گلباغ,28-Apr-25,843,,,,
"$243,068.9",$7.9,63.62,,AFN 500,پرداخت برای سلمانی حاجی رفیح الله ,7-Apr-25,844,,,,
"$243,072.5",$3.6,63.62,,AFN 230,"خریداری بادنجان سیاه, رومی و کچالو به دفتر",15-Oct-25,845,,,,
"$243,074.8",$2.4,63.62,,AFN 150,"خریداری مرچ تازه, رومی و پیاز به دفتر ",15-Oct-25,846,,,,
"$243,177.0",$102.2,63.62,,"AFN 6,500","پراخت برای فعال نمودن انترنیت افغان تلیکام بابت شماره دیجیتال, لین, روتر و فیس ماهوار",15-Oct-25,847,,,,
"$243,188.8",$11.8,63.62,,AFN 750,خریداری گوشت مرغ,15-Oct-25,848,,,,
"$243,204.5",$15.7,63.62,,"AFN 1,000","خریداری چاکلیت, چای سبز, بوره , مایح ظرفشویی و دستمال کاغذی به دفتر",15-Oct-25,849,,,,
"$243,243.8",$39.3,63.62,,"AFN 2,500",پرداخت فیس انترنیت واحد نمبر کارته سه از تاریخ 16 اکتوبر الی 16 نوامبر 2025,15-Oct-25,850,,,,
"$243,250.3",$6.4,63.62,,AFN 410,پرداخت برای نان چاشت مطیح الله و رحیم و کرای پارکینگ موتر میدان هوایی بابت اسناد های حاجی رفیح,15-Oct-25,851,,,,
"$243,253.4",$3.1,63.62,,AFN 200,خریداری گاز مایح به دفتر ,15-Oct-25,852,,,,
"$243,255.0",$1.6,63.62,,AFN 100,خریداری مصاله بریانی به دفتر ,15-Oct-25,853,,,,
"$243,257.5",$2.5,63.62,,AFN 160,خریداری کچالو به دفتر ,15-Oct-25,854,,,,
"$243,261.7",$4.2,63.62,,AFN 270,خریداری گروپ سه رنگه و سویچ به دفتر ,29-Oct-25,855,,,,
"$243,290.3",$28.6,63.62,,"AFN 1,820","خریداری روغن, مصاله و زردچوبه به آشپزخانه کارته سه",29-Oct-25,856,,,,
"$243,306.1",$15.7,63.62,,"AFN 1,000",خریداری گاز به دفتر ,23-Oct-25,857,,,,
"$243,318.6",$12.6,63.62,,AFN 800,خریداری گوشت مرغ و مصاله بریانی به دفتر ,23-Oct-25,858,,,,
"$243,322.7",$4.1,63.62,,AFN 260,خریداری پیاز و چالو به دفتر ,22-Oct-25,859,,,,
"$243,330.6",$7.9,63.62,,AFN 500,خریداری گاز به دفتر ,22-Oct-25,860,,,,
"$243,333.1",$2.5,63.62,,AFN 160,خریداری کچالو به دفتر ,22-Oct-25,861,,,,
"$243,342.5",$9.4,63.62,,AFN 600,خریداری غذا از رستورانت به کارمندان صفایی تعمیر للندر 1,21-Oct-25,862,,,,
"$243,351.8",$9.3,63.62,,AFN 590,خریداری برای وکیل کارته چهار بابت اسناد پلسرخ و فوتوکاپی اسناد صفایی للندر 1 کرای موتر یه کوته سنگی,21-Oct-25,863,,,,
"$243,364.4",$12.6,63.62,,AFN 800,پرداخت برای چاپ بل بوک به نان خشک دفتر ,21-Oct-25,864,,,,
"$243,376.6",$12.3,63.62,,AFN 780,خریداری گوشت مرغ به دفتر ,20-Oct-25,865,,,,
"$243,378.2",$1.6,63.62,,AFN 100,خریداری مصاله بریانی به دفتر ,20-Oct-25,866,,,,
"$243,379.8",$1.6,63.62,,AFN 100,خریداری پیاز به دفتر ,20-Oct-25,867,,,,
"$243,382.6",$2.8,63.62,,AFN 180,خریداری کچالو به دفتر ,20-Oct-25,868,,,,
"$243,389.8",$7.2,63.62,,AFN 460,خریداری کچالو و پیاز به دفتر ,20-Oct-25,869,,,,
"$243,394.4",$4.6,63.62,,AFN 290,"خریداری متر, میخ, نت و بولت یه دفتر",20-Oct-25,870,,,,
"$243,406.2",$11.8,63.62,,AFN 750,خریداری گوشت مرغ و آشپزخانه ,16-Oct-25,871,,,,
"$243,407.3",$1.1,63.62,,AFN 70,خریداری نارنج و مالته بابت دفتر ,23-Dec-25,872,,,,
"$243,410.6",$3.3,63.62,,AFN 210,خریداری برنج به دفتر,23-Dec-25,873,,,,
"$243,418.1",$7.5,63.62,,AFN 480,خریداری یک کیلو گوشت بابت دفتر,23-Dec-25,874,,,,
"$243,420.8",$2.7,63.62,,AFN 170,خریداری دال و نخود بابت پروژه دفتر,23-Dec-25,875,,,,
"$243,471.1",$50.3,63.62,,"AFN 3,200",خریداری برکت ساده دو عدد بابت دفتر,23-Dec-25,876,,,,
"$243,474.6",$3.5,63.62,,AFN 220,خریداری پل بابت پروژه دفتر,23-Dec-25,877,,,,
"$243,484.0",$9.4,63.62,,AFN 600,پرداخت گاز بابت دفتر,23-Dec-25,878,,,,
"$243,502.9",$18.9,63.62,,"AFN 1,200",خریداری چارچر کمپیوتر بابت پرژه دفتر,23-Dec-25,879,,,,
"$243,518.6",$15.7,63.62,,"AFN 1,000",خریداری دو کیلو گوشت بابت پروژه دفتر ,23-Dec-25,880,,,,
"$243,523.6",$5.0,63.62,,AFN 320,"خریداری کدو, رومی و مرچ به دفتر",23-Dec-25,881,,,,
"$243,524.5",$0.9,63.62,,AFN 60,"خریداری کدو, رومی و مرچ به دفتر ",23-Dec-25,882,,,,
"$243,526.4",$1.9,63.62,,AFN 120,قفل و دستک به دفتر ,23-Dec-25,883,,,,
"$243,543.7",$17.3,63.62,,"AFN 1,100",چاپ کتابچه به دفتر,23-Dec-25,884,,,,
"$243,550.0",$6.3,63.62,,AFN 400,کاغذ رول به دفتر ,23-Dec-25,885,,,,
"$243,594.5",$44.5,63.62,,"AFN 2,830","ساکت, کرای راه به دفتر",23-Dec-25,886,,,,
"$252,094.5","$8,500.0",63.62,"$8,500.00",,اجرا حواله حاجی رفیح الله به ترکیه ,2-Dec-25,887,,,,
"$252,097.6",$3.1,63.62,,AFN 200,رب هدیه به دفتر ,2-Dec-25,888,,,,
"$252,101.1",$3.5,63.62,,AFN 220,کچالو و نمک به دفتر ,2-Dec-25,889,,,,
"$252,104.2",$3.1,63.62,,AFN 200,خریداری برگر به کمبودی نان چاشت ,4-Dec-25,890,,,,
"$252,120.0",$15.7,63.62,,"AFN 1,000",خریداری کارت به حاجی رفیح,30-Nov-25,891,,,,
"$252,130.0",$10.1,63.62,,AFN 640,روغن به دفتر ,30-Nov-25,892,,,,
"$252,137.2",$7.2,63.62,,AFN 460,روغن به دفتر ,30-Nov-25,893,,,,
"$252,157.4",$20.1,63.62,,"AFN 1,280",گوشت مرغ به دفتر,30-Nov-25,894,,,,
"$252,158.1",$0.8,63.62,,AFN 50,کچالو به دفتر ,30-Nov-25,895,,,,
"$252,159.7",$1.6,63.62,,AFN 100,مصاله بریانی به دفتر ,30-Nov-25,896,,,,
"$252,175.4",$15.7,63.62,,"AFN 1,000",خریداری گاز مایح به دفتر ,30-Nov-25,897,,,,
"$252,180.5",$5.0,63.62,,AFN 320,"خریداری متر, کچالو, شلغم, زردک, رومی و بادرنگ به دفتر ",30-Nov-25,898,,,,
"$252,187.2",$6.8,63.62,,AFN 430,خریداری فلش و موس به دفتر ,29-Nov-25,899,,,,
"$252,218.7",$31.4,63.62,,"AFN 2,000",برداشت سمیر للندر از دفتر ,29-Nov-25,900,,,,
"$252,250.1",$31.4,63.62,,"AFN 2,000",برداشت غر از دفتر ,29-Nov-25,901,,,,
"$252,269.0",$18.9,63.62,,"AFN 1,200","خریداری شرینی, کلچه به خانه ",26-Nov-25,902,,,,
"$252,271.2",$2.2,63.62,,AFN 140,خریداری رب و رومی به دفتر ,26-Nov-25,903,,,,
"$252,287.2",$16.0,63.62,,"AFN 1,020",خریداری کاز مایح به دفتر                                                                                    ,26-Nov-25,904,,,,
"$252,310.8",$23.6,63.62,,"AFN 1,500",نصب سیستم سولر به دفتر ,26-Nov-25,905,,,,
"$252,326.5",$15.7,63.62,,"AFN 1,000",فیس کلپ سمیر للندر,24-Nov-25,906,,,,
"$252,334.4",$7.9,63.62,,AFN 500,گوشت گوساله به دفتر,24-Nov-25,907,,,,
"$252,336.2",$1.9,63.62,,AFN 120,خلال و کشکش بخ دفتر ,24-Nov-25,908,,,,
"$252,337.7",$1.4,63.62,,AFN 90,خریداری رومی پیاز به دفتر ,24-Nov-25,909,,,,
"$252,340.5",$2.8,63.62,,AFN 180,گاز به دفتر ,24-Nov-25,910,,,,
"$252,343.0",$2.5,63.62,,AFN 160,"خریداری کچالو, زردک, رومی و مرچ به دفتر ",23-Nov-25,911,,,,
"$252,343.8",$0.8,63.62,,AFN 50,خریداری بادنجان رومی به دفتر ,12-Oct-25,912,,,,
"$252,345.5",$1.7,63.62,,AFN 110,خریداری دو کیلو شیر ,12-Oct-25,913,,,,
"$252,358.1",$12.6,63.62,,AFN 800,خریدرای بوره به خانه ,12-Oct-25,914,,,,
"$252,979.2",$621.2,63.62,,"AFN 39,518",کرای 33 متر جایداد دولتی تعمیر باغ قاضی ,11-Oct-25,915,,,,
"$253,053.7",$74.5,63.62,,"AFN 4,740",فیس انترنیت ماه دسمبر 2025 منزل هفتم کارته سه ,9-Oct-25,916,,,,
"$253,071.8",$18.1,63.62,,"AFN 1,150","نان چاشت, و پرداخت به کایگران و کرن کار بابت انتقال کانتیر های گدام کارته سه",7-Oct-25,917,,,,
"$253,276.2",$204.3,63.62,,"AFN 13,000",پرداخت برای کرن کار و جابجایی کانتیرنر ها ,7-Oct-25,918,,,,
"$253,318.2",$42.0,63.62,,"AFN 2,673",پرداخت برای خبازی عبدالمطلب بغلانی بابت خریداری نان خشک دفتر کراته چهار ,6-Oct-25,919,,,,
"$253,328.4",$10.2,63.62,,AFN 650,"پرداخت موتربه شهرنو, کنترول ساختمانی, چاپ عکس و اسناد های تعمیر و خریداری کارت موبایل برای مهراج",6-Oct-25,920,,,,
"$253,344.5",$16.1,63.62,,"AFN 1,026",پرداخت برای خبازی عبدالمطلب بغلانی بابت خریداری نان خشک به تعمیر کارته سه,6-Oct-25,921,,,,
"$253,348.3",$3.8,63.62,,AFN 243,پرداخت برای خبازی عبدالمطلب بغلانی بابت خریداری نان خشک دفتر کراته چهار ,6-Oct-25,922,,,,
"$253,353.7",$5.3,63.62,,AFN 340,"خریداری برس, قفل, جاروب به دفتر ",5-Oct-25,923,,,,
"$253,357.5",$3.8,63.62,,AFN 240,خریداری کاغذ  به دفتر,5-Oct-25,924,,,,
"$253,368.6",$11.2,63.62,,AFN 710,"خریداری انرژی الکزی, آب و سگرت به دفتر ",5-Oct-25,925,,,,
"$253,370.2",$1.6,63.62,,AFN 100,خریداری شیر تازه,4-Oct-25,926,,,,
"$253,384.7",$14.5,63.62,,AFN 920,خریداری شکاستیپ و توش به دفتر ,4-Oct-25,927,,,,
"$253,412.5",$27.8,63.62,,"AFN 1,770",خریداری شیر تازه به خانه توسط حاجی صبغت الله ,4-Oct-25,928,,,,
"$253,417.5",$5.0,63.62,,AFN 320,"خریداری پیاز, مرچ سیر و گشنیز به دفتر ",2-Oct-25,929,,,,
"$253,429.3",$11.8,63.62,,AFN 750,خریداری گوشت مرغ به دفتر ,2-Oct-25,930,,,,
"$253,460.7",$31.4,63.62,,"AFN 2,000",خریداری گوشت گوساله ,2-Oct-25,931,,,,
"$253,464.0",$3.3,63.62,,AFN 210,خریداری کچالو و زردک به دفتر ,2-Oct-25,932,,,,
"$253,465.8",$1.7,63.62,,AFN 110,خریدرای رومی کشمش یه دفتر,2-Oct-25,933,,,,
"$253,469.2",$3.5,63.62,,AFN 220,"خریداری پیاز, مصاله بریانی و مرچ تازه به دفتر ",2-Oct-25,934,,,,
"$253,472.8",$3.6,63.62,,AFN 230,خریدرای کچالو و بادنجان رومی به دفتر ,2-Oct-25,935,,,,
"$253,480.5",$7.7,63.62,,AFN 490,خریداری روب هدیه به دفتر ,2-Oct-25,936,,,,
"$253,483.8",$3.2,63.62,,AFN 205,"خریداری رومی, کدوگک, پیاز و مرچ تازه به دفتر ",2-Oct-25,937,,,,
"$253,486.2",$2.4,63.62,,AFN 155,خریداری روب و مکرونی به دفتر ,2-Oct-25,938,,,,
"$253,522.5",$36.3,63.62,,"AFN 2,310","خریداری کیک, ترمیم بطری, کتابچه صفایی, کچالو, آب گرمی و غیره به دفتر ",16-Nov-25,939,,,,
"$253,525.3",$2.8,63.62,,AFN 175,خریداری چای سبز ماش دانه به دفتر ,15-Nov-25,940,,,,
"$253,535.5",$10.2,63.62,,AFN 650,خریداری غذا از رستورانت به مهمان دفتر ,15-Nov-25,941,,,,
"$253,574.8",$39.3,63.62,,"AFN 2,500",پرداخت فیس انترنیت خانه کارته سه ,15-Nov-25,942,,,,
"$253,603.1",$28.3,63.62,,"AFN 1,800",خریداری غذا از رستورانت به مهمان دفتر ,13-Nov-25,943,,,,
"$253,625.8",$22.8,63.62,,"AFN 1,450","پرداخت برای مصارفات عبدالرحیم بابت کرای موتر, کارت موبایل ",13-Nov-25,944,,,,
"$253,721.8",$96.0,63.62,$96.00,,خریداری شیر خشک اپتامیل به پسر حاجی بلال,8-Nov-25,945,,,,
"$253,729.7",$7.9,63.62,,AFN 500,خریداری گوشت سرخی ,3-Nov-25,946,,,,
"$253,748.6",$18.9,63.62,,"AFN 1,200",ترمیم و خرید پایپ به چاه ,3-Nov-25,947,,,,
"$253,755.3",$6.8,63.62,,AFN 430,کارت مبایل به عبدالرحیم,30-Nov-25,948,,,,
"$253,758.5",$3.1,63.62,,AFN 200,پیاز و روغن به دفتر ,30-Nov-25,949,,,,
"$253,797.8",$39.3,63.62,,"AFN 2,500",فیس مکتب طلحه للندر ,30-Nov-25,950,,,,
"$253,813.5",$15.7,63.62,,"AFN 1,000",خریداری گوشت مرغ و مصاله به دفتر ,30-Nov-25,951,,,,
"$253,931.4",$117.9,63.62,,"AFN 7,500",فلتر آب تصفیه کن به دفتر ,11-Sep-25,952,,,,
"$253,932.2",$0.8,63.62,,AFN 50,بادنجان رومی و مرچ به دفتر ,28-Sep-25,953,,,,
"$255,987.2","$2,055.0",63.62,"$2,055.00",,پرداخت برای شرکت جوتن بابت خریداری رنگ به تعمیر للندر 3 خانه گذر گاه,28-Sep-25,954,,,,
"$255,998.9",$11.8,63.62,,AFN 750,خریدرای مرغ به آشپزخانه دفتر کارته سه,25-Sep-25,955,,,,
"$256,001.6",$2.7,63.62,,AFN 170,"خریداری سیر, مصاله بریانی, مرچ و بادنجان رومی به کارته سه",25-Sep-25,956,,,,
"$256,119.7",$118.0,63.62,,"AFN 7,510",فیس مکتب طلحه للندر و لباس آن,20-Sep-25,957,,,,
"$256,437.0",$317.4,63.62,,"AFN 20,190",ذکریای نلدوان بابت تعمیر للندر 3 گذرگاه ,20-Sep-25,958,,,,
"$256,444.9",$7.9,63.62,,AFN 500,خریداری گوشت مرغ و مصاله به دفتر ,18-Sep-25,959,,,,
"$256,471.9",$27.0,63.62,,"AFN 1,720",خریداری گیلاس به تعیر از BNB,17-Sep-25,960,,,,
"$256,536.7",$64.8,63.62,,"AFN 4,120","خریداری اجاق گاز, پایپ گاز, کرایی, دیگ و گاز به مایح به مهمانان واحد b 19 j تعمیر گذرگاه",16-Sep-25,961,,,,
"$256,545.0",$8.3,63.62,,AFN 530,روغن به دفتر,16-Sep-25,962,,,,
"$256,546.8",$1.8,63.62,,AFN 115,بامیه و بادنجان رومی به دفتر ,16-Sep-25,963,,,,
"$256,616.8",$70.0,63.62,,"AFN 4,455",خریداری شیر تازه به خانه حاجی صبغت الله ,15-Sep-25,964,,,,
"$257,238.0",$621.2,63.62,,"AFN 39,518",پرداخت تعرفه باغ قاضی و کمیشن بانک,15-Sep-25,965,,,,
"$257,241.1",$3.1,63.62,,AFN 200,"رومی, مرچ تازه, بادرنگ و نارنج به ذفتز                                                                                                      ",15-Sep-25,966,,,,
"$257,241.9",$0.8,63.62,,AFN 50,خریداری بوره به دفتر ,15-Sep-25,967,,,,
"$257,268.6",$26.7,63.62,,"AFN 1,700",خریداری روتر به اینترنیت,14-Sep-25,968,,,,
"$257,271.9",$3.3,63.62,,AFN 210,"کوک, انرژی و آب معدنی به دفتر ",13-Sep-25,969,,,,
"$257,274.8",$2.8,63.62,,AFN 180,خریداری گاز به دفتر ,13-Sep-25,970,,,,
"$257,310.9",$36.2,63.62,,"AFN 2,300",فیس انترنیت تعمیر گذرگاه ,13-Sep-25,971,,,,
"$257,314.1",$3.1,63.62,,AFN 200,خریداری گاز به دفتر ,11-Sep-25,972,,,,
"$257,327.4",$13.4,63.62,,AFN 850,خریداری رنگ پرنتر به دفتر ,11-Sep-25,973,,,,
"$257,350.1",$22.6,63.62,,"AFN 1,440",پرداخت برای نان خشک به دفتر کارته سه,11-Sep-25,974,,,,
"$257,358.1",$8.1,63.62,,AFN 513,خریداری نان خشک برای دفتر کارته سه,11-Sep-25,975,,,,
"$257,373.8",$15.7,63.62,,"AFN 1,000",پرداخت و تصفیه حساب یحی بابت شفته کاری بام تعمیر چهلستون,2-Sep-25,976,,,,
"$257,402.1",$28.3,63.62,,"AFN 1,800",خربوز و تربوز به خانه کارته سه,1-Sep-25,977,,,,
"$257,410.0",$7.9,63.62,,AFN 500,پرداخت برای گلکار بابت شفته کاری تعمیر دفتر,31-Aug-25,978,,,,
